"projectID";"physUrl";"id";"availableLanguages";"status";"archivedDate";"type";"source";"represents"
"101052293";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5f035fc59&appId=PPGMS";"e4200032067a296569bf79a45262e72c";"en";"";"";"projectDeliverable";"";""
"101052293";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5e3f53774&appId=PPGMS";"fcf5e9698d21592083244f7742d34c8e";"en";"";"";"projectDeliverable";"";""
"101052293";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5e557011d&appId=PPGMS";"92b281805bf437889f7ab32440a8412e";"en";"";"";"projectDeliverable";"";""
"101052293";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5eb918e60&appId=PPGMS";"ca730e4a6efcc227223c06b5357d6f3f";"en";"";"";"projectDeliverable";"";""
"101052293";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5f06bcf62&appId=PPGMS";"f0c5d9913025650a872c40ec427151ee";"en";"";"";"projectDeliverable";"";""
"101052293";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5e6b46c10&appId=PPGMS";"d5c5e732c7f69da7f502c2a8fea957e2";"en";"";"";"projectDeliverable";"";""
"101052293";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5f0718763&appId=PPGMS";"64d5c99a11a7fc81adc7703bfe62a635";"en";"";"";"projectDeliverable";"";""
"101052293";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5e4d9cfaf&appId=PPGMS";"510dd93b688892b4e28d7bfcdc94c5ad";"en";"";"";"projectDeliverable";"";""
"101052293";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5e5410417&appId=PPGMS";"c50c80959adf52fafacd1418391885db";"en";"";"";"projectDeliverable";"";""
"101069428";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5e7e568f5&appId=PPGMS";"2407a76dcb7446f5381b9312ceb77af7";"en";"";"";"projectDeliverable";"";""
