"projectID";"topic";"title"
"101046927";"HORIZON-EIC-2021-PATHFINDEROPEN-01-01";"EIC Pathfinder Open 2021"
"101059863";"HORIZON-CL6-2021-CLIMATE-01-07";"International Research Consortium on (agricultural) soil carbon"
"101061068";"HORIZON-CL6-2021-COMMUNITIES-01-01";"Grasping rural diversity and strengthening evidence for tailored policies enhancing the contribution of rural communities to ecological, digital and social transitions"
"101072717";"HORIZON-MSCA-2021-DN-01-01";"MSCA Doctoral Networks 2021"
"101073486";"HORIZON-MSCA-2021-DN-01-01";"MSCA Doctoral Networks 2021"
"101072798";"HORIZON-MSCA-2021-DN-01-01";"MSCA Doctoral Networks 2021"
"101047223";"HORIZON-EIC-2021-PATHFINDEROPEN-01-01";"EIC Pathfinder Open 2021"
"101079608";"HORIZON-INFRA-2021-DEV-02-01";"Preparatory phase of new ESFRI research infrastructure projects"
"101070381";"HORIZON-CL4-2021-DIGITAL-EMERGING-01-11";"Pushing the limit of robotics cognition (AI, Data and Robotics Partnership) (RIA)"
"101065751";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101056921";"HORIZON-CL5-2021-D1-01-01";"Improved understanding of greenhouse gas fluxes and radiative forcers, including carbon dioxide removal technologies"
"101065828";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101072488";"HORIZON-MSCA-2021-DN-01-01";"MSCA Doctoral Networks 2021"
"101046693";"HORIZON-EIC-2021-PATHFINDEROPEN-01-01";"EIC Pathfinder Open 2021"
"101068442";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101046909";"HORIZON-EIC-2021-PATHFINDEROPEN-01-01";"EIC Pathfinder Open 2021"
"101063894";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101047214";"HORIZON-EIC-2021-PATHFINDEROPEN-01-01";"EIC Pathfinder Open 2021"
"101060379";"HORIZON-CL6-2021-CIRCBIO-01-09";"Unlocking the potential of algae for a thriving European blue bioeconomy"
"101058007";"HORIZON-WIDERA-2021-ERA-01-43";"Capacity-building for institutional open access publishing across Europe"
"101046451";"HORIZON-EIC-2021-PATHFINDEROPEN-01-01";"EIC Pathfinder Open 2021"
"101070660";"HORIZON-CL4-2021-DIGITAL-EMERGING-01-05";"Open Source Hardware for ultra-low-power, secure processors (CSA)"
"101057216";"HORIZON-HLTH-2021-ENVHLTH-02-01";"Exposure to electromagnetic fields (EMF) and health"
"101065994";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101063660";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101059890";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101068237";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101072903";"HORIZON-MSCA-2021-DN-01-01";"MSCA Doctoral Networks 2021"
"101070287";"HORIZON-CL4-2021-DIGITAL-EMERGING-01-14";"Advanced spintronics: Unleashing spin in the next generation ICs (RIA)"
"101069703";"HORIZON-CL5-2021-D2-01-03";"Advanced high-performance Generation 4a, 4b (solid-state) Li-ion batteries supporting electro mobility and other applications (Batteries Partnership)"
"101046333";"HORIZON-EIC-2021-PATHFINDEROPEN-01-01";"EIC Pathfinder Open 2021"
