url,name,price,currency,shop_url,shop_name,shop_location,shop_rating
https://www.etsy.com/listing/684350446/cotton-jacket-clothes-for-dog-french?click_key=ade6b5e2ed742ec22470d3095aacc6ba88aff6fa%3A684350446&click_sum=6a3d8323&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=dog+sweater&ref=search_in_grid-105-2&frs=1,"Cotton jacket, clothes for dog, French bulldog clothes, jersey jacket, jacket for dog, cotton jacket for dog, dog wear, dog clothes",39.90,$,https://www.etsy.com/shop/Woofitdogwear?ref=l2-about-shopname,Woofitdogwear,"Kyiv, Ukraine",5 out of 5 stars
https://www.etsy.com/listing/1304623743/eco-dog-ball-large?click_key=31e2e8221418d093c5f1989ad683bf0daa0a4c9d%3A1304623743&click_sum=e0a54dc1&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=dog+sweater&ref=search_in_grid-105-3,Eco Dog Ball - Large,12.53,$,https://www.etsy.com/shop/ElvetDesignShop?ref=l2-about-shopname,ElvetDesignShop,,5 out of 5 stars
https://www.etsy.com/listing/903502768/christmas-dog-necktie-bow-tie-xmas-tie?click_key=192d667a831f5194fda6df515fc4f5477244c4db%3A903502768&click_sum=5c8b5b9c&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=dog+sweater&ref=search_in_grid-105-4&cns=1,Christmas Dog Necktie Bow Tie Xmas Tie New Collar Holiday Adjustable Pet Clothes,3.75,$,https://www.etsy.com/shop/Thekingofthings?ref=l2-about-shopname,Thekingofthings,,4.5 out of 5 stars
https://www.etsy.com/listing/900659003/bottle-green-waterproof-fleece-lined-dog?click_key=bca8318c772a28291202fde7314d695ede4cdae6%3A900659003&click_sum=db2c819d&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=dog+sweater&ref=search_in_grid-105-5,Bottle green waterproof fleece lined dog coat,25.06,$,https://www.etsy.com/shop/POSHPAWSBOUTIQUEGB?ref=l2-about-shopname,POSHPAWSBOUTIQUEGB,,5 out of 5 stars
https://www.etsy.com/listing/1232452801/dog-backpack-suitable-for-small-medium?click_key=66dba8a876e9393e07f881fb7f95e816c81c3358%3A1232452801&click_sum=e1dfef18&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=dog+sweater&ref=search_in_grid-105-6&frs=1,"Dog Backpack - Suitable for Small, Medium, and Large Breeds - Attachable to a Dog Collar - Unicorn Model",32.90,$,https://www.etsy.com/shop/MeyfStore?ref=l2-about-shopname,MeyfStore,Turkey,5 out of 5 stars
https://www.etsy.com/listing/1162535565/snuffle-ball-nosework-mental-stimulation?click_key=801b97e36590e7e2a900a1bf7cce926f063f670c%3A1162535565&click_sum=2168f1e9&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=dog+sweater&ref=search_in_grid-105-7&pro=1,"Snuffle ball, Nosework, Mental stimulation, Interactive toy for dog, Pet nose pad dogs toys, Snuffle toy, Custom snuffle ball, Pet supplies",17.69,$,https://www.etsy.com/shop/4LovelyPaws?ref=l2-about-shopname,4LovelyPaws,Slovenia,4.5 out of 5 stars
https://www.etsy.com/listing/171375955/very-warm-coat-very-soft-shearling?click_key=18ab2f03fb277d77b57e8e03e28bc83b8cbab2c1%3A171375955&click_sum=0a5f488a&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=dog+sweater&ref=search_in_grid-105-8&frs=1,"very warm coat, very soft, shearling Yorkshire",98.25,$,https://www.etsy.com/shop/AngelikaParis?ref=l2-about-shopname,AngelikaParis,"Paris, France",
https://www.etsy.com/listing/1240096126/gucci-gg-red-dog-pet-rain-jacket?click_key=9646bd0d7b26f3f3ae115d8a888d266a96a70783%3A1240096126&click_sum=fe81a31f&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=dog+sweater&ref=search_in_grid-106-1,GUCCI GG Red Dog Pet Rain Jacket Raincoat Small Waterproof AUTH Rare Coat Hooded,255.00,$,https://www.etsy.com/shop/VintageLuxuryCo?ref=l2-about-shopname,VintageLuxuryCo,,5 out of 5 stars
https://www.etsy.com/listing/1102624916/dark-green-black-personalised-christmas?click_key=0a7fc2d46ec381ffaad6a04855060f1a5bf0c245%3A1102624916&click_sum=c593e827&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=dog+sweater&ref=search_in_grid-106-2&pop=1&sts=1,DARK GREEN / BLACK Personalised Christmas cute fun ugly sweater jumper with custom face photo of dog cat etc Mens Womens crewneck sweatshirt,40.08,$,https://www.etsy.com/shop/HiDoggiShop?ref=l2-about-shopname,HiDoggiShop,"Loughton, United Kingdom",5 out of 5 stars
https://www.etsy.com/listing/1326507579/punk-hoodie-for-dog-lovers-alt-clothing?click_key=53ee76c42dd549dddfc1773be18da8b3d47cb227%3A1326507579&click_sum=46ee648b&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=dog+sweater&ref=search_in_grid-106-3&pro=1&frs=1&sts=1,"Punk Hoodie for Dog Lovers, Alt Clothing, Dog Mom Gifts, Gunge Hoodie, Punk Gift for Women, Punk Rock Hoodie, Funny Punk Theme Sweater",37.80,$,https://www.etsy.com/shop/NoExcuseShop?ref=l2-about-shopname,NoExcuseShop,"Bristol, United Kingdom",5 out of 5 stars
